Agency,ID,Date,Flow,SYM,,
USGS,9163500,10/1/1951,2460,A,,
USGS,9163500,10/2/1951,2660,A,,
USGS,9163500,10/3/1951,2690,A,,
USGS,9163500,10/4/1951,2660,A,,
USGS,9163500,10/5/1951,2820,A,,
USGS,9163500,10/6/1951,2980,A,,
USGS,9163500,10/7/1951,2940,A,,
USGS,9163500,10/8/1951,2920,A,,
USGS,9163500,10/9/1951,2690,A,,
USGS,9163500,10/10/1951,2440,A,,
USGS,9163500,10/11/1951,2530,A,,
USGS,9163500,10/12/1951,2550,A,,
USGS,9163500,10/13/1951,2370,A,,
USGS,9163500,10/14/1951,2390,A,,
USGS,9163500,10/15/1951,2440,A,,
USGS,9163500,10/16/1951,2450,A,,
USGS,9163500,10/17/1951,2460,A,,
USGS,9163500,10/18/1951,2400,A,,
USGS,9163500,10/19/1951,2520,A,,
USGS,9163500,10/20/1951,2460,A,,
USGS,9163500,10/21/1951,2520,A,,
USGS,9163500,10/22/1951,2570,A,,
USGS,9163500,10/23/1951,2450,A,,
USGS,9163500,10/24/1951,2520,A,,
USGS,9163500,10/25/1951,2600,A,,
USGS,9163500,10/26/1951,3260,A,,
USGS,9163500,10/27/1951,4030,A,,
USGS,9163500,10/28/1951,3390,A,,
USGS,9163500,10/29/1951,3360,A,,
USGS,9163500,10/30/1951,3060,A,,
USGS,9163500,10/31/1951,2920,A,,
USGS,9163500,11/1/1951,2940,A,,
USGS,9163500,11/2/1951,2920,A,,
USGS,9163500,11/3/1951,2900,A,,
USGS,9163500,11/4/1951,2880,A,,
USGS,9163500,11/5/1951,3210,A,,
USGS,9163500,11/6/1951,3080,A,,
USGS,9163500,11/7/1951,3050,A,,
USGS,9163500,11/8/1951,3050,A,,
USGS,9163500,11/9/1951,3030,A,,
USGS,9163500,11/10/1951,3060,A,,
USGS,9163500,11/11/1951,3100,A,,
USGS,9163500,11/12/1951,3100,A,,
USGS,9163500,11/13/1951,3030,A,,
USGS,9163500,11/14/1951,2980,A,,
USGS,9163500,11/15/1951,3130,A,,
USGS,9163500,11/16/1951,3120,A,,
USGS,9163500,11/17/1951,3060,A,,
USGS,9163500,11/18/1951,2730,A,,
USGS,9163500,11/19/1951,2900,A,,
USGS,9163500,11/20/1951,2570,A,,
USGS,9163500,11/21/1951,2590,A,,
USGS,9163500,11/22/1951,2770,A,,
USGS,9163500,11/23/1951,3260,A,,
USGS,9163500,11/24/1951,3300,A,,
USGS,9163500,11/25/1951,3100,A,,
USGS,9163500,11/26/1951,3030,A,,
USGS,9163500,11/27/1951,3000,A,,
USGS,9163500,11/28/1951,2630,A,,
USGS,9163500,11/29/1951,2660,A,,
USGS,9163500,11/30/1951,2820,A,,
USGS,9163500,12/1/1951,2880,A,,
USGS,9163500,12/2/1951,2830,A,,
USGS,9163500,12/3/1951,2890,A,,
USGS,9163500,12/4/1951,2920,A,,
USGS,9163500,12/5/1951,2890,A,,
USGS,9163500,12/6/1951,2980,A,,
USGS,9163500,12/7/1951,2770,A,,
USGS,9163500,12/8/1951,2620,A,,
USGS,9163500,12/9/1951,2400,A,,
USGS,9163500,12/10/1951,2200,A,,
USGS,9163500,12/11/1951,2000,A,,
USGS,9163500,12/12/1951,2080,A,,
USGS,9163500,12/13/1951,2390,A,,
USGS,9163500,12/14/1951,2860,A,,
USGS,9163500,12/15/1951,2880,A,,
USGS,9163500,12/16/1951,2630,A,,
USGS,9163500,12/17/1951,2700,A,,
USGS,9163500,12/18/1951,2600,A,,
USGS,9163500,12/19/1951,2500,A,,
USGS,9163500,12/20/1951,2600,A,,
USGS,9163500,12/21/1951,2700,A,,
USGS,9163500,12/22/1951,2830,A,,
USGS,9163500,12/23/1951,3030,A,,
USGS,9163500,12/24/1951,3190,A,,
USGS,9163500,12/25/1951,3030,A,,
USGS,9163500,12/26/1951,2880,A,,
USGS,9163500,12/27/1951,2700,A,,
USGS,9163500,12/28/1951,2570,A,,
USGS,9163500,12/29/1951,2620,A,,
USGS,9163500,12/30/1951,4070,A,,
USGS,9163500,12/31/1951,5550,A,,
USGS,9163500,1/1/1952,3490,A,,
USGS,9163500,1/2/1952,3150,A,,
USGS,9163500,1/3/1952,2700,A,,
USGS,9163500,1/4/1952,2400,A,,
USGS,9163500,1/5/1952,2200,A,,
USGS,9163500,1/6/1952,2400,A,,
USGS,9163500,1/7/1952,2300,A,,
USGS,9163500,1/8/1952,2300,A,,
USGS,9163500,1/9/1952,2400,A,,
USGS,9163500,1/10/1952,2500,A,,
USGS,9163500,1/11/1952,2500,A,,
USGS,9163500,1/12/1952,2600,A,,
USGS,9163500,1/13/1952,2700,A,,
USGS,9163500,1/14/1952,2800,A,,
USGS,9163500,1/15/1952,3000,A,,
USGS,9163500,1/16/1952,3100,A,,
USGS,9163500,1/17/1952,3200,A,,
USGS,9163500,1/18/1952,3200,A,,
USGS,9163500,1/19/1952,3100,A,,
USGS,9163500,1/20/1952,3100,A,,
USGS,9163500,1/21/1952,3000,A,,
USGS,9163500,1/22/1952,3000,A,,
USGS,9163500,1/23/1952,3000,A,,
USGS,9163500,1/24/1952,2900,A,,
USGS,9163500,1/25/1952,3000,A,,
USGS,9163500,1/26/1952,3200,A,,
USGS,9163500,1/27/1952,3200,A,,
USGS,9163500,1/28/1952,3200,A,,
USGS,9163500,1/29/1952,3000,A,,
USGS,9163500,1/30/1952,2700,A,,
USGS,9163500,1/31/1952,2400,A,,
USGS,9163500,2/1/1952,2400,A,,
