Date,Flow
3/26/1933,445
12/11/1933,1410
11/17/1934,475
3/13/1936,978
12/18/1936,461
12/15/1937,362
4/8/1939,530
2/4/1940,350
2/21/1941,1100
2/25/1942,980
12/20/1942,575
2/29/1944,694
12/21/1944,612
12/24/1945,540
5/15/1947,381
5/11/1948,334
5/11/1949,670
1/1/1950,769
12/30/1950,1570
1/26/1952,512
1/20/1953,613
3/13/1954,750
2/27/1955,603
4/8/1956,880
1/3/1957,485
12/15/1958,812
12/23/1959,1420
1/16/1960,4090
1/26/1961,376
3/24/1962,904
1/7/1963,4120
12/21/1963,1740
3/2/1965,973
2/23/1966,378
10/11/1966,827
4/1/1968,626
2/28/1969,3170
1/13/1970,2790
4/4/1971,1130
1/18/1972,437
2/16/1973,312
